t;framecounter;lat;long;height;GPS_satellites;temp;voltage;temp_int;pressure;humidity_rel;RSSI;CRC;r;v_z;wind;wind_direction;wind_direction_deg;vapor_pressure;dew_point
298,0;111,0;1,2097807395075801;0,279579217110441;1,042;12,0;1,1519711485416906;3,96;29,25757050926711;86,41145;65,41;-71,0;3,0;2,4235559843754735;6,0;19,200449742561506;-1,8847124008388978;-107,98606616403752;0,4393426789194946;-3,952662206555766
302,0;112,0;1,2097861988974805;0,2795945969518096;1,0675;12,0;1,0516884849137114;3,96;29,25757050926711;86,11942;65,82;-66,0;3,0;2,4587730759227004;6,375;25,950906745839095;-1,9118923230181986;-109,54336099240547;0,43849112453793193;-3,9755660784527636
306,0;113,0;1,2097899272698285;0,2796053494017323;1,0885;12,0;0,8148596005767672;3,96;29,25757050926711;85,8636;65,49;-68,0;3,0;2,4846989935318624;5,25;18,096464909061215;-1,904569601559644;-109,12379995828042;0,4279261421578902;-4,263162048425552
310,0;114,0;1,2097964520087043;0,2796216279131327;1,1165;12,0;;;;;;-70,0;1,0;2,5279405558461505;7,0;27,886915756736265;-1,9520086561622978;-111,84185757110313;;
314,0;115,0;1,2097997810497194;0,27963261353904356;1,136;12,0;0,5499103520820654;3,96;29,25757050926711;85,31344;66,34;-71,0;3,0;2,5517623399522273;4,875;18,253151489571906;-1,865036183225186;-106,85870193799086;0,4241742183659807;-4,366859757053397
318,0;116,0;1,2098049742769088;0,27964919172347663;1,159;12,0;0,36819125401217434;3,96;29,25757050926711;85,02955;66,43;-64,0;3,0;2,586450224421899;5,75;27,624900986669672;-1,8743704158310297;-107,39351407129911;0,4184639849596627;-4,526303518765388
322,0;117,0;1,2098101673295654;0,2796577471529369;1,184;12,0;0,2011562701691787;3,96;29,25757050926711;84,813;66,57;-63,0;3,0;2,6246531669208824;6,25;15,914487747767714;-2,116339048709446;-121,2572955097828;0,41363088672762466;-4,662818072750488
326,0;118,0;1,209814428376401;0,27966949828025767;1,21;13,0;0,08823545159293644;3,96;29,25757050926711;84,52631;66,69;-71,0;3,0;2,657560092724904;6,5;19,876695496949615;-1,918658321038747;-109,93102412317675;0,41054634114794236;-4,750708129510301
330,0;119,0;1,209820686778033;0,2796885731581857;1,239;13,0;-0,04393366508509189;3,96;29,25757050926711;84,24244999999999;67,19;-74,0;3,0;2,7020620122121217;7,25;31,9230886336527;-1,8878263947804632;-108,16448487431853;0,40914894974807364;-4,790723906625707
334,0;120,0;1,2098232168073166;0,27969892627677556;1,2665;13,0;-0,19503122808561102;3,96;29,25757050926711;83,99423;67,78;-69,0;3,0;2,727061165578619;6,875;16,947697274237964;-1,810472623137637;-103,73244022976583;0,40763492529844336;-4,834220932679069
338,0;121,0;1,2098273446855303;0,2797110769099621;1,29;13,0;-0,3159041784338683;3,96;29,25757050926711;83,73219999999999;68,51;-77,0;3,0;2,7592608451839515;5,875;20,40622541926739;-1,8982886300820663;-108,76392680137316;0,4079378736063383;-4,825505594857959
342,0;122,0;1,2098325379127197;0,2797288534374595;1,3125;13,0;-0,48471913734789496;3,96;29,25757050926711;83,48;69,37;-70,0;3,0;2,7966971635069906;5,625;29,449527282997284;-1,855026212969351;-106,28517288928003;0,40734104638924373;-4,842681021355703
346,0;123,0;1,2098352011106253;0,27973940622171584;1,3385;13,0;-0,61696438346371;3,96;29,25757050926711;83,20433;70,3;-70,0;3,0;2,8227732631849043;6,5;17,307080085993736;-1,8180035956586218;-104,16393317084726;0,4083140169909343;-4,814692786485194
350,0;124,0;1,2098387963143515;0,27975382072147514;1,366;13,0;-0,863447744168468;3,96;29,25757050926711;82,92706;70,9;-67,0;3,0;2,854826904022358;6,875;23,62410918957714;-1,815225061929944;-104,00473491495927;0,4034819973205204;-4,954295131215427
353,0;125,0;1,2098410600063914;0,27976856788098986;1,391;13,0;-0,9778124635855647;3,96;29,25757050926711;82,71841;71,54;-64,0;3,0;2,8786952788672093;8,333333333333334;31,634210299313995;-1,7231076896653967;-98,72679826436526;0,4032830381449663;-4,9600759993796775
357,0;126,0;1,2098466527394465;0,2797841140522362;1,411;13,0;-1,0821454440949196;3,96;29,25757050926711;82,51585;72,23;-76,0;3,0;2,919169660456952;5,0;26,272734526518583;-1,9161304556674525;-109,78618810622433;0,4036637946718806;-4,9490151886288505
361,0;127,0;1,2098521121293466;0,27979360166205003;1,4325;13,0;-1,1640492209999138;3,96;29,25757050926711;82,26722;72,66;-66,0;3,0;2,9599414484813273;5,375;17,406827930635444;-2,092948523270061;-119,91711712151266;0,40331535890243503;-4,959136724564392
365,0;128,0;1,2098545089900083;0,2798056191266146;1,457;13,0;-1,3270246585448149;3,96;29,25757050926711;82,01919000000001;72,94;-68,0;3,0;2,9853329917625926;6,125;19,486808564634906;-1,7676611722943498;-101,27952478161369;0,39942398540873486;-5,072722055308898
369,0;129,0;1,2098598353858196;0,27982396166438844;1,48;13,0;-1,4764900649096262;3,96;29,25757050926711;81,76039;72,77;-65,0;3,0;3,026917719386537;5,75;30,37369528647063;-1,8534087439106732;-106,1924987387248;0,3935691141666582;-5,2455418716416915
